"Fofunkcio";"Funkcio";"Fejezet";"Cím";"Alcim";"Jogcim1";"Jogcim2";"Ecs";"Ke";"Nev";"Kiadas";"Bevetel";"Tamogatas";"Oszlop";"AHTT"
"F16";"F16";"FJ01";0;0;0;0;0;0;"I. ORSZÁGGYŰLÉS";;;;0;88
"F01";"F01a";"FJ01";1;0;0;0;0;0;"Országgyűlés Hivatala";;;;1;99
"F01";"F01a";"FJ01";1;1;0;0;0;0;"Országgyűlés hivatali szervei";;560;20785,2;2;110
"F01";"F01a";"FJ01";1;1;0;0;1;0;"Működési költségvetés";;;;3;110
"F01";"F01a";"FJ01";1;1;0;0;1;1;"Személyi juttatások";10748,2;;;4;110
"F01";"F01a";"FJ01";1;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";2634,4;;;4;110
"F01";"F01a";"FJ01";1;1;0;0;1;3;"Dologi kiadások";3929,8;;;4;110
"F01";"F01a";"FJ01";1;1;0;0;1;4;"Ellátottak pénzbeli juttatásai";91,5;;;4;110
"F01";"F01a";"FJ01";1;1;0;0;1;5;"Egyéb működési célú kiadások";40;;;4;110
"F01";"F01a";"FJ01";1;1;0;0;2;0;"Felhalmozási költségvetés";;;;3;110
"F01";"F01a";"FJ01";1;1;0;0;2;6;"Beruházások";430,7;;;4;110
"F01";"F01a";"FJ01";1;1;0;0;2;7;"Felújítások";3470,6;;;4;110
"F01";"F01a";"FJ01";2;0;0;0;0;0;"Állambiztonsági Szolgálatok Történeti Levéltára";;5;710,1;1;246345
"F01";"F01a";"FJ01";2;0;0;0;1;0;"Működési költségvetés";;;;2;246345
"F01";"F01a";"FJ01";2;0;0;0;1;1;"Személyi juttatások";417;;;3;246345
"F01";"F01a";"FJ01";2;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";115,1;;;3;246345
"F01";"F01a";"FJ01";2;0;0;0;1;3;"Dologi kiadások";154,3;;;3;246345
"F01";"F01a";"FJ01";2;0;0;0;2;0;"Felhalmozási költségvetés";;;;2;246345
"F01";"F01a";"FJ01";2;0;0;0;2;6;"Beruházások";28,7;;;3;246345
"F03";"F03b";"FJ01";3;0;0;0;0;0;"Országgyűlési Őrség";;;2526,8;1;334206
"F03";"F03b";"FJ01";3;0;0;0;1;0;"Működési költségvetés";;;;2;334206
"F03";"F03b";"FJ01";3;0;0;0;1;1;"Személyi juttatások";2007,8;;;3;334206
"F03";"F03b";"FJ01";3;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";519;;;3;334206
"F16";"F16";"FJ01";4;0;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;1;132
"F08";"F08f";"FJ01";4;3;0;0;0;0;"Az Országgyűlés elnökének közcélú felajánlásai, adományai";73;;73;2;295891
"F08";"F08f";"FJ01";4;4;0;0;0;0;"A Kárpát-medencei Magyar Képviselők Fóruma";;;;2;279001
"F08";"F08f";"FJ01";4;4;2;0;0;0;"Magyar Nemzeti Közösségek Európai Érdekképviseletéért Alapítvány támogatása";80;;80;3;295913
"F01";"F01a";"FJ01";4;6;0;0;0;0;"Képviselő-testület váltásával kapcsolatos kiadások";3100;;3100;2;143
"F08";"F08f";"FJ01";4;8;0;0;0;0;"Volt köztársasági elnökök közcélú felajánlásai, adományai";;;;2;297024
"F08";"F08f";"FJ01";4;8;1;0;0;0;"Göncz Árpád közcélú felajánlásai, adományai";73;;73;3;298057
"F08";"F08f";"FJ01";4;8;2;0;0;0;"Schmitt Pál közcélú felajánlásai, adományai";73;;73;3;333573
"F08";"F08f";"FJ01";4;8;3;0;0;0;"Sólyom László közcélú felajánlásai, adományai";73;;73;3;298079
"F01";"F01a";"FJ01";4;9;0;0;0;0;"Kossuth Lajos tér rekonstrukciója";17390,8;;17390,8;2;276945
"F16";"F16";"FJ01";4;13;0;0;0;0;"Fejezeti tartalék";477,8;;477,8;2;334495
"F16";"F16";"FJ01";5;0;0;0;0;0;"Közbeszerzési Hatóság";;;;1;264956
"F01";"F01a";"FJ01";5;1;0;0;0;0;"Közbeszerzési Hatóság";;1524;131,8;2;19161
"F01";"F01a";"FJ01";5;1;0;0;1;0;"Működési költségvetés";;;;3;19161
"F01";"F01a";"FJ01";5;1;0;0;1;1;"Személyi juttatások";597,5;;;4;19161
"F01";"F01a";"FJ01";5;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";159,1;;;4;19161
"F01";"F01a";"FJ01";5;1;0;0;1;3;"Dologi kiadások";731,4;;;4;19161
"F01";"F01a";"FJ01";5;1;0;0;1;5;"Egyéb működési célú kiadások";2,8;;;4;19161
"F01";"F01a";"FJ01";5;1;0;0;2;0;"Felhalmozási költségvetés";;;;3;19161
"F01";"F01a";"FJ01";5;1;0;0;2;6;"Beruházások";165;;;4;19161
"F16";"F16";"FJ01";5;2;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;2;272823
"F16";"F16";"FJ01";5;2;2;0;0;0;"Fejezeti tartalék";8,2;;8,2;3;335295
"F08";"F08e";"FJ01";8;0;0;0;0;0;"Pártok támogatása";;;;1;165
"F08";"F08e";"FJ01";8;1;0;0;0;0;"Országos listán mandátumot szerzett pártok támogatása";;;;2;176
"F08";"F08e";"FJ01";8;1;1;0;0;0;"FIDESZ - Magyar Polgári Szövetség";1055;;;3;187
"F08";"F08e";"FJ01";8;1;2;0;0;0;"Magyar Szocialista Párt";521,3;;;3;220
"F08";"F08e";"FJ01";8;1;3;0;0;0;"Jobbik Magyarországért Mozgalom - Párt";448;;;3;294102
"F08";"F08e";"FJ01";8;1;4;0;0;0;"Lehet Más a Politika";249,2;;;3;294113
"F08";"F08e";"FJ01";8;1;5;0;0;0;"Kereszténydemokrata Néppárt";232,6;;;3;208
"F08";"F08e";"FJ01";8;2;0;0;0;0;"Országos listán mandátumot nem szerzett pártok támogatása";;;;2;253
"F08";"F08e";"FJ01";8;2;4;0;0;0;"Magyar Demokrata Fórum";42,8;;;3;219
"F08";"F08e";"FJ01";9;0;0;0;0;0;"Pártalapítványok támogatása";;;;1;249823
"F08";"F08f";"FJ01";9;1;0;0;0;0;"Szövetség a Polgári Magyarországért Alapítvány";611,7;;;2;253967
"F08";"F08f";"FJ01";9;2;0;0;0;0;"Táncsics Mihály Alapítvány";259,8;;;2;253956
"F08";"F08f";"FJ01";9;3;0;0;0;0;"Gyarapodó Magyarországért Alapítvány";211,3;;;2;301091
