"Fofunkcio";"Funkcio";"Fejezet";"Cim";"Alcim";"Jogcim1";"Jogcim2";"Ecs";"Ke";"Nev";"Kiadas";"Bevetel";"Tamogatas";"Oszlop";"AHTT"
"F16";"F16";"FJ01";0;0;0;0;0;0;"I. ORSZÁGGYŰLÉS";;;;0;88
"F01";"F01a";"FJ01";1;0;0;0;0;0;"Országgyűlés Hivatala";;;;1;99
"F01";"F01a";"FJ01";1;1;0;0;0;0;"Országgyűlés hivatali szervei";;560;20860,5;2;110
"F01";"F01a";"FJ01";1;1;0;0;1;0;"Működési költségvetés";;;;3;110
"F01";"F01a";"FJ01";1;1;0;0;1;1;"Személyi juttatások";11216,2;;;4;110
"F01";"F01a";"FJ01";1;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";2651,9;;;4;110
"F01";"F01a";"FJ01";1;1;0;0;1;3;"Dologi kiadások";4108,5;;;4;110
"F01";"F01a";"FJ01";1;1;0;0;1;4;"Ellátottak pénzbeli juttatásai";91,5;;;4;110
"F01";"F01a";"FJ01";1;1;0;0;1;5;"Egyéb működési célú kiadások";40;;;4;110
"F01";"F01a";"FJ01";1;1;0;0;2;0;"Felhalmozási költségvetés";;;;3;110
"F01";"F01a";"FJ01";1;1;0;0;2;6;"Beruházások";1430,7;;;4;110
"F01";"F01a";"FJ01";1;1;0;0;2;7;"Felújítások";1881,7;;;4;110
"F01";"F01a";"FJ01";2;0;0;0;0;0;"Állambiztonsági Szolgálatok Történeti Levéltára";;5;755,8;1;246345
"F01";"F01a";"FJ01";2;0;0;0;1;0;"Működési költségvetés";;;;2;246345
"F01";"F01a";"FJ01";2;0;0;0;1;1;"Személyi juttatások";421,5;;;3;246345
"F01";"F01a";"FJ01";2;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";116,3;;;3;246345
"F01";"F01a";"FJ01";2;0;0;0;1;3;"Dologi kiadások";164,3;;;3;246345
"F01";"F01a";"FJ01";2;0;0;0;2;0;"Felhalmozási költségvetés";;;;2;246345
"F01";"F01a";"FJ01";2;0;0;0;2;6;"Beruházások";58,7;;;3;246345
"F03";"F03b";"FJ01";3;0;0;0;0;0;"Országgyűlési Őrség";;;2584,9;1;334206
"F03";"F03b";"FJ01";3;0;0;0;1;0;"Működési költségvetés";;;;2;334206
"F03";"F03b";"FJ01";3;0;0;0;1;1;"Személyi juttatások";2053,7;;;3;334206
"F03";"F03b";"FJ01";3;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";531,2;;;3;334206
"F16";"F16";"FJ01";4;0;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;1;132
"F08";"F08f";"FJ01";4;3;0;0;0;0;"Az Országgyűlés elnökének közcélú felajánlásai, adományai";73;;73;2;295891
"F08";"F08f";"FJ01";4;4;0;0;0;0;"A Kárpát-medencei Magyar Képviselők Fóruma";;;;2;279001
"F08";"F08f";"FJ01";4;4;2;0;0;0;"Magyar Nemzeti Közösségek Európai Érdekképviseletéért Alapítvány támogatása";80;;80;3;295913
"F08";"F08f";"FJ01";4;8;0;0;0;0;"Volt köztársasági elnökök közcélú felajánlásai, adományai";;;;2;297024
"F08";"F08f";"FJ01";4;8;1;0;0;0;"Göncz Árpád közcélú felajánlásai, adományai";73;;73;3;298057
"F08";"F08f";"FJ01";4;8;2;0;0;0;"Schmitt Pál közcélú felajánlásai, adományai";73;;73;3;333573
"F08";"F08f";"FJ01";4;8;3;0;0;0;"Sólyom László közcélú felajánlásai, adományai";73;;73;3;298079
"F16";"F16";"FJ01";4;13;0;0;0;0;"Fejezeti tartalék";477,8;;477,8;2;334495
"F16";"F16";"FJ01";5;0;0;0;0;0;"Közbeszerzési Hatóság";;;;1;264956
"F01";"F01a";"FJ01";5;1;0;0;0;0;"Közbeszerzési Hatóság";;2144,7;140;2;19161
"F01";"F01a";"FJ01";5;1;0;0;1;0;"Működési költségvetés";;;;3;19161
"F01";"F01a";"FJ01";5;1;0;0;1;1;"Személyi juttatások";665,5;;;4;19161
"F01";"F01a";"FJ01";5;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";177,4;;;4;19161
"F01";"F01a";"FJ01";5;1;0;0;1;3;"Dologi kiadások";961,5;;;4;19161
"F01";"F01a";"FJ01";5;1;0;0;1;5;"Egyéb működési célú kiadások";2,8;;;4;19161
"F01";"F01a";"FJ01";5;1;0;0;2;0;"Felhalmozási költségvetés";;;;3;19161
"F01";"F01a";"FJ01";5;1;0;0;2;6;"Beruházások";477,5;;;4;19161
"F08";"F08e";"FJ01";8;0;0;0;0;0;"Pártok támogatása";;;;1;165
"F08";"F08e";"FJ01";8;1;0;0;0;0;"Országos listán mandátumot szerzett pártok támogatása";;;;2;176
"F08";"F08e";"FJ01";8;1;1;0;0;0;"FIDESZ - Magyar Polgári Szövetség";876,6;;;3;187
"F08";"F08e";"FJ01";8;1;2;0;0;0;"Magyar Szocialista Párt";427;;;3;220
"F08";"F08e";"FJ01";8;1;3;0;0;0;"Jobbik Magyarországért Mozgalom - Párt";475,8;;;3;294102
"F08";"F08e";"FJ01";8;1;4;0;0;0;"Lehet Más a Politika";173,7;;;3;294113
"F08";"F08e";"FJ01";8;1;5;0;0;0;"Kereszténydemokrata Néppárt";152,7;;;3;208
"F08";"F08e";"FJ01";8;1;6;0;0;0;"Együtt - A Korszakváltók Pártja";133,6;;;3;347440
"F08";"F08e";"FJ01";8;1;7;0;0;0;"Demokratikus Koalíció";132;;;3;347451
"F08";"F08e";"FJ01";8;1;8;0;0;0;"Párbeszéd Magyarországért Párt";106,7;;;3;347462
"F08";"F08e";"FJ01";8;1;9;0;0;0;"Magyar Liberális Párt";70,8;;;3;347473
"F08";"F08e";"FJ01";9;0;0;0;0;0;"Pártalapítványok támogatása";;;;1;249823
"F08";"F08f";"FJ01";9;1;0;0;0;0;"Szövetség a Polgári Magyarországért Alapítvány";529,7;;;2;253967
"F08";"F08f";"FJ01";9;2;0;0;0;0;"Táncsics Mihály Alapítvány";234,2;;;2;253956
"F08";"F08f";"FJ01";9;3;0;0;0;0;"Gyarapodó Magyarországért Alapítvány";266,2;;;2;301091
"F08";"F08f";"FJ01";9;4;0;0;0;0;"Ökopolisz Alapítvány";67,6;;;2;294235
"F08";"F08f";"FJ01";9;5;0;0;0;0;"Barankovics István Alapítvány";53,8;;;2;271745
"F08";"F08f";"FJ01";9;8;0;0;0;0;"Együtt Magyarországért Alapítvány";41,3;;;2;347851
