"Fo";"Fofunkcio";"Funkcio";"Fejezet";"Cim";"Alcim";"Jogcim1";"Jogcim2";"Ecs";"Ke";"Nev";"Kiadas";"Bevetel";"Tamogatas";"AHTT";"Oszlop"
FALSE;"F16";"F16";"FJ01";0;0;0;0;0;0;"I. ORSZÁGGYŰLÉS";;;;88;0
FALSE;"F01";"F01a";"FJ01";1;0;0;0;0;0;"Országgyűlés Hivatala";;;;99;1
FALSE;"F01";"F01a";"FJ01";1;1;0;0;0;0;"Országgyűlés hivatali szervei";;700;21860,5;110;2
FALSE;"F01";"F01a";"FJ01";1;1;0;0;1;0;"Működési költségvetés";;;;110;3
FALSE;"F01";"F01a";"FJ01";1;1;0;0;1;1;"Személyi juttatások";11062;;;110;4
FALSE;"F01";"F01a";"FJ01";1;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";2656,7;;;110;4
FALSE;"F01";"F01a";"FJ01";1;1;0;0;1;3;"Dologi kiadások";4397,9;;;110;4
FALSE;"F01";"F01a";"FJ01";1;1;0;0;1;4;"Ellátottak pénzbeli juttatásai";91,5;;;110;4
FALSE;"F01";"F01a";"FJ01";1;1;0;0;1;5;"Egyéb működési célú kiadások";40;;;110;4
FALSE;"F01";"F01a";"FJ01";1;1;0;0;2;0;"Felhalmozási költségvetés";;;;110;3
FALSE;"F01";"F01a";"FJ01";1;1;0;0;2;6;"Beruházások";2430,7;;;110;4
FALSE;"F01";"F01a";"FJ01";1;1;0;0;2;7;"Felújítások";1881,7;;;110;4
FALSE;"F01";"F01a";"FJ01";2;0;0;0;0;0;"Állambiztonsági Szolgálatok Történeti Levéltára";;5;783,6;246345;1
FALSE;"F01";"F01a";"FJ01";2;0;0;0;1;0;"Működési költségvetés";;;;246345;2
FALSE;"F01";"F01a";"FJ01";2;0;0;0;1;1;"Személyi juttatások";428,5;;;246345;3
FALSE;"F01";"F01a";"FJ01";2;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";121,5;;;246345;3
FALSE;"F01";"F01a";"FJ01";2;0;0;0;1;3;"Dologi kiadások";164,3;;;246345;3
FALSE;"F01";"F01a";"FJ01";2;0;0;0;2;0;"Felhalmozási költségvetés";;;;246345;2
FALSE;"F01";"F01a";"FJ01";2;0;0;0;2;6;"Beruházások";60;;;246345;3
FALSE;"F01";"F01a";"FJ01";2;0;0;0;2;7;"Felújítások";14,3;;;246345;3
FALSE;"F03";"F03b";"FJ01";3;0;0;0;0;0;"Országgyűlési Őrség";;;2584,9;334206;1
FALSE;"F03";"F03b";"FJ01";3;0;0;0;1;0;"Működési költségvetés";;;;334206;2
FALSE;"F03";"F03b";"FJ01";3;0;0;0;1;1;"Személyi juttatások";2053,7;;;334206;3
FALSE;"F03";"F03b";"FJ01";3;0;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";531,2;;;334206;3
FALSE;"F16";"F16";"FJ01";4;0;0;0;0;0;"Fejezeti kezelésű előirányzatok";;;;132;1
FALSE;"F08";"F08f";"FJ01";4;3;0;0;0;0;"Az Országgyűlés elnökének közcélú felajánlásai, adományai";73;;73;295891;2
FALSE;"F08";"F08f";"FJ01";4;4;0;0;0;0;"A Kárpát-medencei Magyar Képviselők Fóruma";;;;279001;2
FALSE;"F08";"F08f";"FJ01";4;4;2;0;0;0;"Magyar Nemzeti Közösségek Európai Érdekképviseletéért Alapítvány támogatása";80;;80;295913;3
FALSE;"F08";"F08f";"FJ01";4;8;0;0;0;0;"Volt köztársasági elnökök közcélú felajánlásai, adományai";;;;297024;2
FALSE;"F08";"F08f";"FJ01";4;8;1;0;0;0;"Göncz Árpád közcélú felajánlásai, adományai";73;;73;298057;3
FALSE;"F08";"F08f";"FJ01";4;8;2;0;0;0;"Schmitt Pál közcélú felajánlásai, adományai";73;;73;333573;3
FALSE;"F08";"F08f";"FJ01";4;8;3;0;0;0;"Sólyom László közcélú felajánlásai, adományai";73;;73;298079;3
FALSE;"F01";"F01a";"FJ01";4;13;0;0;0;0;"Fejezeti tartalék";450;;450;334495;2
FALSE;"F16";"F16";"FJ01";5;0;0;0;0;0;"Közbeszerzési Hatóság";;;;264956;1
FALSE;"F01";"F01a";"FJ01";5;1;0;0;0;0;"Közbeszerzési Hatóság";;1959,9;140;19161;2
FALSE;"F01";"F01a";"FJ01";5;1;0;0;1;0;"Működési költségvetés";;;;19161;3
FALSE;"F01";"F01a";"FJ01";5;1;0;0;1;1;"Személyi juttatások";788,7;;;19161;4
FALSE;"F01";"F01a";"FJ01";5;1;0;0;1;2;"Munkaadókat terhelő járulékok és szociális hozzájárulási adó";193,6;;;19161;4
FALSE;"F01";"F01a";"FJ01";5;1;0;0;1;3;"Dologi kiadások";845,8;;;19161;4
FALSE;"F01";"F01a";"FJ01";5;1;0;0;2;0;"Felhalmozási költségvetés";;;;19161;3
FALSE;"F01";"F01a";"FJ01";5;1;0;0;2;6;"Beruházások";271,8;;;19161;4
FALSE;"F08";"F08e";"FJ01";8;0;0;0;0;0;"Pártok támogatása";;;;165;1
FALSE;"F08";"F08e";"FJ01";8;1;0;0;0;0;"Országos listán mandátumot szerzett pártok támogatása";;;;176;2
FALSE;"F08";"F08e";"FJ01";8;1;1;0;0;0;"FIDESZ - Magyar Polgári Szövetség";876,6;;;187;3
FALSE;"F08";"F08e";"FJ01";8;1;2;0;0;0;"Magyar Szocialista Párt";427;;;220;3
FALSE;"F08";"F08e";"FJ01";8;1;3;0;0;0;"Jobbik Magyarországért Mozgalom - Párt";475,8;;;294102;3
FALSE;"F08";"F08e";"FJ01";8;1;4;0;0;0;"Lehet Más a Politika";173,7;;;294113;3
FALSE;"F08";"F08e";"FJ01";8;1;5;0;0;0;"Kereszténydemokrata Néppárt";152,7;;;208;3
FALSE;"F08";"F08e";"FJ01";8;1;6;0;0;0;"Együtt - A Korszakváltók Pártja";133,6;;;347440;3
FALSE;"F08";"F08e";"FJ01";8;1;7;0;0;0;"Demokratikus Koalíció";132;;;347451;3
FALSE;"F08";"F08e";"FJ01";8;1;8;0;0;0;"Párbeszéd Magyarországért Párt";106,7;;;347462;3
FALSE;"F08";"F08e";"FJ01";8;1;9;0;0;0;"Magyar Liberális Párt";70,8;;;347473;3
FALSE;"F08";"F08e";"FJ01";9;0;0;0;0;0;"Pártalapítványok támogatása";;;;249823;1
