Fofunkcio;Funkcio;Fejezet;Cím;Alcim;Jogcim1;Jogcim2;Ecs;Ke;Nev;Mûködési kiadás;Mûködési bevétel;Felhalmozási kiadás;Felhalmozási bevétel;Kiadas;Bevetel
F01;F01.a;01;00;00;00;00;00;00 ;I. ORSZÁGGYÛLÉS;;;;;0,0;0,0
F01;F01.a;01;01;00;00;00;00;00 ;   Országgyûlés Hivatala;;;;;0,0;0,0
F01;F01.a;01;01;01;00;00;00;00 ;      Országgyûlés hivatali szervei;;900,0;;;0,0;900,0
F01;F01.a;01;01;01;00;00;01;00 ;         Mûködési költségvetés;;;;;0,0;0,0
F01;F01.a;01;01;01;00;00;01;01 ;            Személyi juttatások;11 174,1;;;;11 174,1;0,0
F01;F01.a;01;01;01;00;00;01;02 ;            Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;2 697,2;;;;2 697,2;0,0
F01;F01.a;01;01;01;00;00;01;03 ;            Dologi kiadások;4 460,3;;;;4 460,3;0,0
F01;F01.a;01;01;01;00;00;01;04 ;            Ellátottak pénzbeli juttatásai;76,5;;;;76,5;0,0
F01;F01.a;01;01;01;00;00;01;05 ;            Egyéb mûködési célú kiadások;40,0;;;;40,0;0,0
F01;F01.a;01;01;01;00;00;02;00 ;         Felhalmozási költségvetés;;;;;0,0;0,0
F01;F01.a;01;01;01;00;00;02;06 ;            Beruházások;;;2 430,7;;2 430,7;0,0
F01;F01.a;01;01;01;00;00;02;07 ;            Felújítások;;;905,7;;905,7;0,0
F01;F01.a;01;02;00;00;00;00;00 ;   Állambiztonsági Szolgálatok Történeti Levéltára;;5,0;;;0,0;5,0
F01;F01.a;01;02;00;00;00;01;00 ;      Mûködési költségvetés;;;;;0,0;0,0
F01;F01.a;01;02;00;00;00;01;01 ;         Személyi juttatások;438,4;;;;438,4;0,0
F01;F01.a;01;02;00;00;00;01;02 ;         Munkaadókat terhelõ járulékok és szociális hozzájárulási adó;123,6;;;;123,6;0,0
F01;F01.a;01;02;00;00;00;01;03 ;         Dologi kiadások;177,3;;;;177,3;0,0
F01;F01.a;01;02;00;00;00;02;00 ;      Felhalmozási költségvetés;;;;;0,0;0,0
