Fofunkcio;Funkcio;Fejezet;Cím;Alcim;Jogcim1;Jogcim2;Ecs;Ke;Nev;Működési kiadás;Működési bevétel;Felhalmozási kiadás;Felhalmozási bevétel;Kiadas;Bevetel
F01;F01.a;FJ01;0;0;0;0;0;0;I. ORSZÁGGYŰLÉS;;;;;0;0
F01;F01.a;FJ01;1;0;0;0;0;0;Országgyűlés Hivatala;;;;;0;0
F01;F01.a;FJ01;1;1;0;0;0;0;Országgyűlés hivatali szervei;;900;;;0;900
F01;F01.a;FJ01;1;1;0;0;1;0;Működési költségvetés;;;;;0;0
F01;F01.a;FJ01;1;1;0;0;1;1;Személyi juttatások;11 174,10;;;;11174,1;0
F01;F01.a;FJ01;1;1;0;0;1;2;Munkaadókat terhelő járulékok és szociális hozzájárulási adó;2 697,20;;;;2697,2;0
F01;F01.a;FJ01;1;1;0;0;1;3;Dologi kiadások;4 460,30;;;;4460,3;0
F01;F01.a;FJ01;1;1;0;0;1;4;Ellátottak pénzbeli juttatásai;76,5;;;;76,5;0
F01;F01.a;FJ01;1;1;0;0;1;5;Egyéb működési célú kiadások;40;;;;40;0
F01;F01.a;FJ01;1;1;0;0;2;0;Felhalmozási költségvetés;;;;;0;0
F01;F01.a;FJ01;1;1;0;0;2;6;Beruházások;;;2 430,70;;2430,7;0
F01;F01.a;FJ01;1;1;0;0;2;7;Felújítások;;;905,7;;905,7;0
F01;F01.a;FJ01;2;0;0;0;0;0;Állambiztonsági Szolgálatok Történeti Levéltára;;5;;;0;5
F01;F01.a;FJ01;2;0;0;0;1;0;Működési költségvetés;;;;;0;0
F01;F01.a;FJ01;2;0;0;0;1;1;Személyi juttatások;438,4;;;;438,4;0
F01;F01.a;FJ01;2;0;0;0;1;2;Munkaadókat terhelő járulékok és szociális hozzájárulási adó;123,6;;;;123,6;0
F01;F01.a;FJ01;2;0;0;0;1;3;Dologi kiadások;177,3;;;;177,3;0
F01;F01.a;FJ01;2;0;0;0;2;0;Felhalmozási költségvetés;;;;;0;0
F01;F01.a;FJ01;2;0;0;0;2;6;Beruházások;;;55;;55;0
F01;F01.a;FJ01;2;0;0;0;2;7;Felújítások;;;14,3;;14,3;0
F03;F03.b;FJ01;3;0;0;0;0;0;Országgyűlési Őrség;;;;;0;0
F03;F03.b;FJ01;3;0;0;0;1;0;Működési költségvetés;;;;;0;0
F03;F03.b;FJ01;3;0;0;0;1;1;Személyi juttatások;2 609,50;;;;2609,5;0
F03;F03.b;FJ01;3;0;0;0;1;2;Munkaadókat terhelő járulékok és szociális hozzájárulási adó;681,3;;;;681,3;0
F03;F03.b;FJ01;4;0;0;0;0;0;Fejezeti kezelésű előirányzatok;;;;;0;0
F08;F08.f;FJ01;4;3;0;0;0;0;Az Országgyűlés elnökének közcélú felajánlásai, adományai;73;;;;73;0
F08;F08.f;FJ01;4;4;0;0;0;0;A Kárpát-medencei Magyar Képviselők Fóruma;;;;;0;0
F08;F08.f;FJ01;4;4;2;0;0;0;Magyar Nemzeti Közösségek Európai Érdekképviseletéért Alapítvány támogatása;80;;;;80;0
F08;F08.f;FJ01;4;8;0;0;0;0;Volt köztársasági elnökök közcélú felajánlásai, adományai;;;;;0;0
F08;F08.f;FJ01;4;8;1;0;0;0;Schmitt Pál közcélú felajánlásai, adományai;73;;;;73;0
F08;F08.f;FJ01;4;8;2;0;0;0;Sólyom László közcélú felajánlásai, adományai;73;;;;73;0
F08;F08.f;FJ01;5;0;0;0;0;0;Közbeszerzési Hatóság;;;;;0;0
F01;F01.a;FJ01;5;1;0;0;0;0;Közbeszerzési Hatóság;;1 660,90;;;0;1660,9
